step,env_id,cutoff_hz,input_action,output_action
113,0,2.0,1.0,0.9998148679733276
113,1,5.0,1.0,0.9999999403953552
113,2,10.0,1.0,1.0
113,3,20.0,1.0,1.0
114,0,2.0,1.0,0.99983811378479
114,1,5.0,1.0,0.9999999403953552
114,2,10.0,1.0,1.0
114,3,20.0,1.0,1.0
115,0,2.0,1.0,0.9998584389686584
115,1,5.0,1.0,0.9999999403953552
115,2,10.0,1.0,1.0
115,3,20.0,1.0,1.0
116,0,2.0,1.0,0.9998762011528015
116,1,5.0,1.0,0.9999999403953552
116,2,10.0,1.0,1.0
116,3,20.0,1.0,1.0
117,0,2.0,1.0,0.9998917579650879
117,1,5.0,1.0,0.9999999403953552
117,2,10.0,1.0,1.0
117,3,20.0,1.0,1.0
118,0,2.0,1.0,0.9999053478240967
118,1,5.0,1.0,0.9999999403953552
118,2,10.0,1.0,1.0
118,3,20.0,1.0,1.0
119,0,2.0,1.0,0.9999172687530518
119,1,5.0,1.0,0.9999999403953552
119,2,10.0,1.0,1.0
119,3,20.0,1.0,1.0
120,0,2.0,1.0,0.9999276399612427
120,1,5.0,1.0,0.9999999403953552
120,2,10.0,1.0,1.0
120,3,20.0,1.0,1.0
121,0,2.0,1.0,0.9999367594718933
121,1,5.0,1.0,0.9999999403953552
121,2,10.0,1.0,1.0
121,3,20.0,1.0,1.0
122,0,2.0,1.0,0.9999446868896484
122,1,5.0,1.0,0.9999999403953552
122,2,10.0,1.0,1.0
122,3,20.0,1.0,1.0
123,0,2.0,1.0,0.9999516606330872
123,1,5.0,1.0,0.9999999403953552
123,2,10.0,1.0,1.0
123,3,20.0,1.0,1.0
124,0,2.0,1.0,0.9999577403068542
124,1,5.0,1.0,0.9999999403953552
124,2,10.0,1.0,1.0
124,3,20.0,1.0,1.0
125,0,2.0,1.0,0.9999630451202393
125,1,5.0,1.0,0.9999999403953552
125,2,10.0,1.0,1.0
125,3,20.0,1.0,1.0
126,0,2.0,1.0,0.9999676942825317
