step,env_id,time_s,soc,voltage_ratio
45,4,0.45,0.9597563743591309,0.9879269003868103
45,5,0.45,0.9353602528572083,0.9806081056594849
45,6,0.45,0.9860737323760986,0.9958221316337585
45,7,0.45,0.8340621590614319,0.950218677520752
46,0,0.46,0.7928914427757263,0.9378674030303955
46,1,0.46,0.524870753288269,0.8574612140655518
46,2,0.46,0.5737855434417725,0.8721356391906738
46,3,0.46,0.5994966626167297,0.8798489570617676
46,4,0.46,0.9596742391586304,0.9879022836685181
46,5,0.46,0.935305655002594,0.9805916547775269
46,6,0.46,0.9860113263130188,0.9958033561706543
46,7,0.46,0.8340404033660889,0.9502121210098267
47,0,0.47,0.7928107380867004,0.9378432035446167
47,1,0.47,0.5248324871063232,0.8574497699737549
47,2,0.47,0.5737621188163757,0.8721286058425903
47,3,0.47,0.5994714498519897,0.8798414468765259
47,4,0.47,0.9595921039581299,0.987877607345581
47,5,0.47,0.9352510571479797,0.9805753231048584
47,6,0.47,0.985948920249939,0.9957846403121948
47,7,0.47,0.8340186476707458,0.9502055644989014
48,0,0.48,0.7927300333976746,0.9378190040588379
48,1,0.48,0.5247942209243774,0.8574382662773132
48,2,0.48,0.573738694190979,0.8721215724945068
48,3,0.48,0.5994462370872498,0.8798338770866394
48,4,0.48,0.9595099687576294,0.9878529906272888
48,5,0.48,0.9351964592933655,0.9805589318275452
48,6,0.48,0.9858865141868591,0.9957659244537354
48,7,0.48,0.8339968919754028,0.9501990675926208
49,0,0.49,0.7926493287086487,0.9377948045730591
49,1,0.49,0.5247559547424316,0.8574267625808716
49,2,0.49,0.5737152695655823,0.8721145391464233
49,3,0.49,0.5994210243225098,0.8798263072967529
49,4,0.49,0.9594278335571289,0.9878283739089966
49,5,0.49,0.9351418614387512,0.9805425405502319
49,6,0.49,0.9858241081237793,0.9957472085952759
49,7,0.49,0.8339751362800598,0.9501925706863403
50,0,0.5,0.7925686240196228,0.9377706050872803
50,1,0.5,0.5247176885604858,0.8574153184890747
50,2,0.5,0.5736918449401855,0.8721075654029846
50,3,0.5,0.5993958115577698,0.8798187375068665
50,4,0.5,0.9593456983566284,0.9878036975860596
50,5,0.5,0.935087263584137,0.9805262088775635
50,6,0.5,0.9857617020606995,0.9957284927368164
50,7,0.5,0.8339533805847168,0.950186014175415
51,0,0.51,0.7924879193305969,0.9377464056015015
51,1,0.51,0.52467942237854,0.8574038147926331
51,2,0.51,0.5736684203147888,0.8721005320549011
51,3,0.51,0.5993705987930298,0.87981116771698
51,4,0.51,0.9592635631561279,0.9877790808677673
51,5,0.51,0.9350326657295227,0.9805097579956055
51,6,0.51,0.9856992959976196,0.9957097768783569
51,7,0.51,0.8339316248893738,0.9501794576644897
52,0,0.52,0.792407214641571,0.9377221465110779
52,1,0.52,0.5246411561965942,0.8573923110961914
52,2,0.52,0.5736449956893921,0.8720934987068176
52,3,0.52,0.5993453860282898,0.8798035979270935
52,4,0.52,0.9591814279556274,0.9877544641494751
52,5,0.52,0.9349780678749084,0.980493426322937
52,6,0.52,0.9856368899345398,0.9956910610198975
52,7,0.52,0.8339098691940308,0.9501729607582092
53,0,0.53,0.7923265099525452,0.9376979470252991
53,1,0.53,0.5246028900146484,0.8573808670043945
53,2,0.53,0.5736215710639954,0.8720864653587341
53,3,0.53,0.5993201732635498,0.879796028137207
53,4,0.53,0.959099292755127,0.9877297878265381
53,5,0.53,0.9349234700202942,0.9804770350456238
53,6,0.53,0.98557448387146,0.995672345161438
53,7,0.53,0.8338881134986877,0.9501664638519287
54,0,0.54,0.7922458052635193,0.9376737475395203
54,1,0.54,0.5245646238327026,0.8573693633079529
54,2,0.54,0.5735981464385986,0.8720794320106506
54,3,0.54,0.5992949604988098,0.8797885179519653
54,4,0.54,0.9590171575546265,0.9877051115036011
54,5,0.54,0.9348688721656799,0.9804606437683105
54,6,0.54,0.9855120778083801,0.9956536293029785
54,7,0.54,0.8338663578033447,0.9501599073410034
55,0,0.55,0.7921651005744934,0.9376495480537415
55,1,0.55,0.5245263576507568,0.857357919216156
55,2,0.55,0.5735747218132019,0.8720723986625671
55,3,0.55,0.5992697477340698,0.8797808885574341
55,4,0.55,0.958935022354126,0.9876804947853088
55,5,0.55,0.9348142743110657,0.9804443120956421
55,6,0.55,0.9854496717453003,0.995634913444519
55,7,0.55,0.8338446021080017,0.9501533508300781
56,0,0.56,0.7920843958854675,0.9376252889633179
56,1,0.56,0.524488091468811,0.8573464155197144
56,2,0.56,0.5735512971878052,0.8720653653144836
56,3,0.56,0.5992445349693298,0.8797733783721924
56,4,0.56,0.9588528871536255,0.9876558780670166
56,5,0.56,0.9347596764564514,0.9804278612136841
56,6,0.56,0.9853872656822205,0.9956161975860596
56,7,0.56,0.8338228464126587,0.9501468539237976
57,0,0.57,0.7920036911964417,0.9376010894775391
57,1,0.57,0.5244498252868652,0.8573349714279175
57,2,0.57,0.5735278725624084,0.8720583915710449
57,3,0.57,0.5992193222045898,0.8797658085823059
57,4,0.57,0.958770751953125,0.9876312017440796
57,5,0.57,0.9347050786018372,0.9804115295410156
57,6,0.57,0.9853248596191406,0.9955974817276001
57,7,0.57,0.8338010907173157,0.9501403570175171
58,0,0.58,0.7919229865074158,0.9375768899917603
58,1,0.58,0.5244115591049194,0.8573234677314758
58,2,0.58,0.5735044479370117,0.8720513582229614
58,3,0.58,0.5991941094398499,0.8797582387924194
58,4,0.58,0.9586886167526245,0.9876065850257874
58,5,0.58,0.9346504807472229,0.9803951382637024
58,6,0.58,0.9852624535560608,0.9955787658691406
58,7,0.58,0.8337793350219727,0.9501338005065918
59,0,0.59,0.7918422818183899,0.9375526905059814
59,1,0.59,0.5243732929229736,0.8573119640350342
59,2,0.59,0.573481023311615,0.8720443248748779
59,3,0.59,0.5991688966751099,0.879750669002533
59,4,0.59,0.958606481552124,0.9875819683074951
59,5,0.59,0.9345958828926086,0.9803787469863892
59,6,0.59,0.985200047492981,0.9955600500106812
59,7,0.59,0.8337575793266296,0.9501272439956665
60,0,0.6,0.791761577129364,0.9375284910202026
60,1,0.6,0.5243350267410278,0.8573005199432373
60,2,0.6,0.5734575986862183,0.8720372915267944
60,3,0.6,0.5991436839103699,0.8797430992126465
60,4,0.6,0.9585243463516235,0.9875572919845581
60,5,0.6,0.9345412850379944,0.9803624153137207
60,6,0.6,0.9851376414299011,0.9955413341522217
60,7,0.6,0.8337358236312866,0.950120747089386
61,0,0.61,0.7916808724403381,0.9375042915344238
61,1,0.61,0.524296760559082,0.8572890162467957
61,2,0.61,0.5734341740608215,0.8720302581787109
61,3,0.61,0.5991184711456299,0.87973552942276
61,4,0.61,0.958442211151123,0.9875326752662659
61,5,0.61,0.9344866871833801,0.9803459644317627
61,6,0.61,0.9850752353668213,0.9955225586891174
61,7,0.61,0.8337140679359436,0.9501142501831055
62,0,0.62,0.7916001677513123,0.9374800324440002
62,1,0.62,0.5242584943771362,0.857277512550354
62,2,0.62,0.5734107494354248,0.8720232248306274
62,3,0.62,0.5990932583808899,0.8797279596328735
62,4,0.62,0.9583600759506226,0.9875080585479736
62,5,0.62,0.9344320893287659,0.9803296327590942
62,6,0.62,0.9850128293037415,0.995503842830658
62,7,0.62,0.8336923122406006,0.9501076936721802
63,0,0.63,0.7915194630622864,0.9374558329582214
63,1,0.63,0.5242202281951904,0.8572660684585571
63,2,0.63,0.5733873248100281,0.872016191482544
63,3,0.63,0.5990680456161499,0.8797203898429871
63,4,0.63,0.9582779407501221,0.9874833822250366
63,5,0.63,0.9343774914741516,0.980313241481781
63,6,0.63,0.9849504232406616,0.9954851269721985
63,7,0.63,0.8336705565452576,0.9501011371612549
64,0,0.64,0.7914387583732605,0.9374316334724426
64,1,0.64,0.5241819620132446,0.8572545647621155
64,2,0.64,0.5733639001846313,0.8720091581344604
64,3,0.64,0.5990428328514099,0.8797128200531006
64,4,0.64,0.9581958055496216,0.9874587059020996
64,5,0.64,0.9343228936195374,0.9802968502044678
64,6,0.64,0.9848880171775818,0.995466411113739
64,7,0.64,0.8336488008499146,0.9500946402549744
65,0,0.65,0.7913580536842346,0.9374074339866638
65,1,0.65,0.5241436958312988,0.8572431206703186
65,2,0.65,0.5733404755592346,0.872002124786377
65,3,0.65,0.5990176200866699,0.8797053098678589
65,4,0.65,0.9581136703491211,0.9874340891838074
65,5,0.65,0.9342682957649231,0.9802805185317993
65,6,0.65,0.984825611114502,0.9954476952552795
65,7,0.65,0.8336270451545715,0.9500881433486938
66,0,0.66,0.7912773489952087,0.9373831748962402
