step,env_id,time_s,efficiency
92,0,0.92,0.9791020154953003
92,1,0.92,0.9875388145446777
92,2,0.92,0.9866297245025635
92,3,0.92,0.9342517256736755
92,4,0.92,0.9398781061172485
92,5,0.92,0.9080876708030701
92,6,0.92,0.9808481335639954
92,7,0.92,0.9537694454193115
93,0,0.93,0.9788773059844971
93,1,0.93,0.9874048233032227
93,2,0.93,0.9864859580993652
93,3,0.93,0.9335447549819946
93,4,0.93,0.9392316341400146
93,5,0.93,0.9070993661880493
93,6,0.93,0.9806421995162964
93,7,0.93,0.9532723426818848
94,0,0.94,0.9786525964736938
94,1,0.94,0.9872708320617676
94,2,0.94,0.986342191696167
94,3,0.94,0.9328377842903137
94,4,0.94,0.9385851621627808
94,5,0.94,0.9061110615730286
94,6,0.94,0.9804362654685974
94,7,0.94,0.952775239944458
95,0,0.95,0.9784278869628906
95,1,0.95,0.9871368408203125
95,2,0.95,0.9861984252929688
95,3,0.95,0.9321308135986328
95,4,0.95,0.9379386901855469
95,5,0.95,0.9051227569580078
95,6,0.95,0.9802303314208984
95,7,0.95,0.9522781372070312
96,0,0.96,0.9782031774520874
96,1,0.96,0.9870028495788574
96,2,0.96,0.9860546588897705
96,3,0.96,0.9314238429069519
96,4,0.96,0.937292218208313
96,5,0.96,0.9041344523429871
96,6,0.96,0.9800243973731995
96,7,0.96,0.9517810344696045
97,0,0.97,0.9779784679412842
97,1,0.97,0.9868688583374023
97,2,0.97,0.9859108924865723
97,3,0.97,0.930716872215271
97,4,0.97,0.9366457462310791
97,5,0.97,0.9031461477279663
97,6,0.97,0.9798184633255005
97,7,0.97,0.9512839317321777
98,0,0.98,0.977753758430481
98,1,0.98,0.9867348670959473
98,2,0.98,0.985767126083374
98,3,0.98,0.9300099015235901
98,4,0.98,0.9359992742538452
98,5,0.98,0.9021578431129456
98,6,0.98,0.9796125292778015
98,7,0.98,0.950786828994751
99,0,0.99,0.9775290489196777
99,1,0.99,0.9866008758544922
99,2,0.99,0.9856233596801758
99,3,0.99,0.9293029308319092
99,4,0.99,0.9353528022766113
99,5,0.99,0.9011695384979248
99,6,0.99,0.9794065952301025
99,7,0.99,0.9502897262573242
