step,env_id,time_s,warmup_factor
33,1,0.33,1.0037163496017456
33,2,0.33,1.0888832807540894
33,3,0.33,1.0632176399230957
33,4,0.33,1.0837318897247314
33,5,0.33,1.111478567123413
33,6,0.33,1.009415626525879
33,7,0.33,1.0680019855499268
34,0,0.34,1.138799786567688
34,1,0.34,1.0036427974700928
34,2,0.34,1.0871232748031616
34,3,0.34,1.061965823173523
34,4,0.34,1.0820739269256592
34,5,0.34,1.1092711687088013
34,6,0.34,1.0092291831970215
34,7,0.34,1.0666553974151611
35,0,0.35,1.1360514163970947
35,1,0.35,1.0035706758499146
35,2,0.35,1.0853980779647827
35,3,0.35,1.0607388019561768
35,4,0.35,1.0804487466812134
35,5,0.35,1.107107400894165
35,6,0.35,1.0090464353561401
35,7,0.35,1.0653355121612549
36,0,0.36,1.1333574056625366
36,1,0.36,1.003499984741211
36,2,0.36,1.0837070941925049
36,3,0.36,1.059536099433899
36,4,0.36,1.0788557529449463
36,5,0.36,1.104986548423767
36,6,0.36,1.0088672637939453
36,7,0.36,1.0640417337417603
37,0,0.37,1.1307168006896973
37,1,0.37,1.003430724143982
37,2,0.37,1.0820496082305908
37,3,0.37,1.0583572387695312
37,4,0.37,1.0772943496704102
37,5,0.37,1.102907657623291
37,6,0.37,1.008691668510437
37,7,0.37,1.062773585319519
38,0,0.38,1.1281284093856812
38,1,0.38,1.003362774848938
38,2,0.38,1.0804249048233032
38,3,0.38,1.0572017431259155
38,4,0.38,1.0757638216018677
38,5,0.38,1.10086989402771
38,6,0.38,1.0085195302963257
38,7,0.38,1.061530590057373
39,0,0.39,1.1255912780761719
39,1,0.39,1.003296136856079
39,2,0.39,1.0788323879241943
39,3,0.39,1.056069016456604
39,4,0.39,1.074263572692871
39,5,0.39,1.0988725423812866
39,6,0.39,1.0083508491516113
39,7,0.39,1.0603121519088745
40,0,0.4,1.123104453086853
40,1,0.4,1.0032308101654053
40,2,0.4,1.0772714614868164
40,3,0.4,1.0549588203430176
40,4,0.4,1.0727930068969727
40,5,0.4,1.0969147682189941
40,6,0.4,1.0081855058670044
40,7,0.4,1.0591179132461548
41,0,0.41,1.1206668615341187
41,1,0.41,1.0031667947769165
41,2,0.41,1.0757414102554321
