step,env_id,time_s,cumulative_drop_rate
95,5,0.95,0.125
95,6,0.95,0.135417
95,7,0.95,0.104167
96,0,0.96,0.092784
96,1,0.96,0.134021
96,2,0.96,0.226804
96,3,0.96,0.134021
96,4,0.96,0.14433
96,5,0.96,0.123711
96,6,0.96,0.134021
96,7,0.96,0.103093
97,0,0.97,0.091837
97,1,0.97,0.132653
97,2,0.97,0.22449
97,3,0.97,0.132653
97,4,0.97,0.142857
97,5,0.97,0.122449
97,6,0.97,0.132653
97,7,0.97,0.102041
98,0,0.98,0.090909
98,1,0.98,0.141414
98,2,0.98,0.222222
98,3,0.98,0.131313
98,4,0.98,0.141414
98,5,0.98,0.121212
98,6,0.98,0.131313
98,7,0.98,0.10101
99,0,0.99,0.09
99,1,0.99,0.14
99,2,0.99,0.22
99,3,0.99,0.13
99,4,0.99,0.14
99,5,0.99,0.12
99,6,0.99,0.14
99,7,0.99,0.1
100,0,1.0,0.089109
100,1,1.0,0.138614
100,2,1.0,0.217822
100,3,1.0,0.128713
100,4,1.0,0.138614
100,5,1.0,0.118812
100,6,1.0,0.138614
100,7,1.0,0.09901
101,0,1.01,0.088235
101,1,1.01,0.147059
101,2,1.01,0.215686
101,3,1.01,0.127451
101,4,1.01,0.137255
101,5,1.01,0.117647
101,6,1.01,0.137255
101,7,1.01,0.098039
102,0,1.02,0.087379
102,1,1.02,0.145631
102,2,1.02,0.213592
102,3,1.02,0.126214
102,4,1.02,0.135922
102,5,1.02,0.116505
102,6,1.02,0.135922
102,7,1.02,0.097087
103,0,1.03,0.086538
103,1,1.03,0.144231
103,2,1.03,0.211538
103,3,1.03,0.125
103,4,1.03,0.134615
103,5,1.03,0.115385
103,6,1.03,0.134615
103,7,1.03,0.096154
104,0,1.04,0.085714
104,1,1.04,0.142857
104,2,1.04,0.209524
104,3,1.04,0.12381
104,4,1.04,0.133333
104,5,1.04,0.114286
104,6,1.04,0.133333
104,7,1.04,0.104762
105,0,1.05,0.09434
105,1,1.05,0.141509
105,2,1.05,0.207547
105,3,1.05,0.132075
105,4,1.05,0.132075
105,5,1.05,0.113208
105,6,1.05,0.132075
105,7,1.05,0.103774
106,0,1.06,0.093458
106,1,1.06,0.140187
106,2,1.06,0.214953
106,3,1.06,0.130841
106,4,1.06,0.140187
106,5,1.06,0.11215
106,6,1.06,0.130841
106,7,1.06,0.102804
107,0,1.07,0.092593
107,1,1.07,0.138889
107,2,1.07,0.212963
107,3,1.07,0.12963
107,4,1.07,0.138889
107,5,1.07,0.111111
107,6,1.07,0.12963
107,7,1.07,0.101852
108,0,1.08,0.091743
108,1,1.08,0.137615
108,2,1.08,0.211009
108,3,1.08,0.12844
108,4,1.08,0.137615
108,5,1.08,0.110092
108,6,1.08,0.12844
108,7,1.08,0.100917
109,0,1.09,0.090909
109,1,1.09,0.136364
109,2,1.09,0.209091
109,3,1.09,0.127273
109,4,1.09,0.136364
109,5,1.09,0.109091
109,6,1.09,0.127273
109,7,1.09,0.1
110,0,1.1,0.09009
110,1,1.1,0.135135
110,2,1.1,0.207207
110,3,1.1,0.126126
110,4,1.1,0.135135
110,5,1.1,0.108108
110,6,1.1,0.126126
