step,env_id,time_s,phase_offset_s
125,2,1.25,-5.437860863821697e-07
125,3,1.25,6.511731953651179e-07
126,0,1.26,-9.089170589504647e-07
126,1,1.26,5.242116912995698e-06
126,2,1.26,-8.525842645212833e-07
126,3,1.26,1.0048941021523206e-06
127,0,1.27,-4.7504164513156866e-07
127,1,1.27,4.944837201037444e-06
127,2,1.27,-4.935883453072165e-07
127,3,1.27,1.0356533266531187e-06
128,0,1.28,-5.411880010797177e-07
128,1,1.28,5.05349680679501e-06
128,2,1.28,-8.473057846458687e-07
128,3,1.28,1.0947196642518975e-06
129,0,1.29,-1.884205289570673e-07
129,1,1.29,4.599539806804387e-06
129,2,1.29,-1.3294047676026821e-06
129,3,1.29,8.857635407366615e-07
130,0,1.3,-2.27966665988788e-07
130,1,1.3,4.580630047712475e-06
130,2,1.3,-1.7321507357337396e-06
130,3,1.3,1.3674444971911726e-06
131,0,1.31,2.495052058293368e-07
131,1,1.31,4.703236299974378e-06
131,2,1.31,-1.8395119241176872e-06
131,3,1.31,1.5528901258221595e-06
132,0,1.32,2.18672312257695e-07
132,1,1.32,4.364919732324779e-06
132,2,1.32,-1.9623071239038836e-06
132,3,1.32,1.621401224838337e-06
133,0,1.33,4.922304697174695e-07
133,1,1.33,3.986961019109003e-06
133,2,1.33,-1.680465402387199e-06
133,3,1.33,2.109412434947444e-06
134,0,1.34,5.959512918707333e-07
134,1,1.34,3.650817916422966e-06
134,2,1.34,-1.8295278323421371e-06
134,3,1.34,2.3088934995030286e-06
135,0,1.35,8.076636390796921e-07
135,1,1.35,3.7960605823172955e-06
135,2,1.35,-1.494017624281696e-06
135,3,1.35,2.0502463939919835e-06
136,0,1.36,8.67510721036524e-07
136,1,1.36,4.0470035855832975e-06
136,2,1.36,-1.0371443295298377e-06
136,3,1.36,1.6577877204326796e-06
137,0,1.37,3.8252721878961893e-07
137,1,1.37,4.108485882170498e-06
137,2,1.37,-7.708513862780819e-07
137,3,1.37,1.8728817394730868e-06
138,0,1.38,1.9485668190100114e-07
138,1,1.38,4.548821380012669e-06
138,2,1.38,-1.1499598713271553e-06
138,3,1.38,2.0454208424780518e-06
139,0,1.39,3.2751444223322324e-07
139,1,1.39,4.609948973666178e-06
139,2,1.39,-1.082333255908452e-06
139,3,1.39,2.159336645490839e-06
140,0,1.4,2.7092568188891164e-08
140,1,1.4,4.423605787451379e-06
140,2,1.4,-9.877461479845806e-07
140,3,1.4,2.1394830582721625e-06
141,0,1.41,2.5397037006769096e-07
141,1,1.41,4.67640802526148e-06
141,2,1.41,-1.0285158396072802e-06
141,3,1.41,2.5470374112046557e-06
142,0,1.42,-2.1880657641304424e-07
142,1,1.42,4.819118657906074e-06
142,2,1.42,-7.743417427263921e-07
142,3,1.42,2.4873099846445257e-06
143,0,1.43,-2.877613951568492e-07
143,1,1.43,4.477987204154488e-06
143,2,1.43,-3.9088669723241765e-07
143,3,1.43,2.1860964807274286e-06
144,0,1.44,-3.1121720667215413e-07
144,1,1.44,4.689579327532556e-06
144,2,1.44,7.46873638490797e-08
144,3,1.44,2.5053718673007097e-06
145,0,1.45,-7.844661240596906e-07
145,1,1.45,4.762218395626405e-06
145,2,1.45,5.131103080202593e-07
145,3,1.45,2.7905059596378123e-06
146,0,1.46,-9.905631941364845e-07
146,1,1.46,5.0967109928024e-06
146,2,1.46,3.356230422468798e-07
146,3,1.46,2.3009415599517524e-06
147,0,1.47,-1.0291796570527367e-06
147,1,1.47,5.314063400874147e-06
147,2,1.47,-7.572347726636508e-08
147,3,1.47,1.951807917066617e-06
148,0,1.48,-6.09685685049044e-07
148,1,1.48,5.647198577207746e-06
148,2,1.48,2.765264355275576e-07
148,3,1.48,1.980900151465903e-06
149,0,1.49,-1.369000699469325e-07
149,1,1.49,5.307607807480963e-06
149,2,1.49,1.5963618693604076e-07
149,3,1.49,2.3683237486693542e-06
150,0,1.5,-2.4611009052932786e-07
150,1,1.5,5.089755177323241e-06
150,2,1.5,5.454122629089397e-07
150,3,1.5,2.7360649710317375e-06
151,0,1.51,7.612806030010688e-08
151,1,1.51,5.522429091797676e-06
151,2,1.51,1.4626982647314435e-07
151,3,1.51,2.850935970855062e-06
152,0,1.52,-2.90344274844756e-07
152,1,1.52,5.794242497358937e-06
152,2,1.52,9.670975487097166e-08
152,3,1.52,2.649535645105061e-06
153,0,1.53,-6.867238084851124e-07
153,1,1.53,5.344765213521896e-06
153,2,1.53,4.946133458361146e-07
153,3,1.53,2.852133320629946e-06
154,0,1.54,-1.89898173630354e-07
154,1,1.54,5.816867997054942e-06
154,2,1.54,8.986247053144325e-07
154,3,1.54,2.6969448754243786e-06
155,0,1.55,5.6201770348707214e-08
155,1,1.55,5.7602105698606465e-06
155,2,1.55,1.35722700633778e-06
155,3,1.55,2.6981349492416484e-06
156,0,1.56,2.3212086830426415e-07
156,1,1.56,5.3590056268149056e-06
156,2,1.56,1.0635664011715562e-06
156,3,1.56,2.4504879547748715e-06
157,0,1.57,4.455143027826125e-07
157,1,1.57,5.440295353764668e-06
157,2,1.57,6.969742116780253e-07
157,3,1.57,2.5321592147520278e-06
158,0,1.58,3.466873579327512e-07
158,1,1.58,5.128106749907602e-06
158,2,1.58,1.1182614798599388e-06
158,3,1.58,2.69209022007999e-06
159,0,1.59,2.454908383242582e-07
159,1,1.59,4.914485998597229e-06
159,2,1.59,1.3520832453650655e-06
159,3,1.59,2.651672275533201e-06
160,0,1.6,2.4786751851024746e-07
160,1,1.6,4.482727490540128e-06
160,2,1.6,1.1164723900947138e-06
160,3,1.6,2.5058836854441324e-06
161,0,1.61,2.0331829375663801e-07
161,1,1.61,4.446478669706266e-06
161,2,1.61,1.1321548072373844e-06
161,3,1.61,2.6014599825430196e-06
162,0,1.62,4.118514596029854e-07
162,1,1.62,4.660696049541002e-06
162,2,1.62,6.831553491792874e-07
162,3,1.62,2.329461494809948e-06
163,0,1.63,5.595901484412025e-07
163,1,1.63,5.020266598876333e-06
163,2,1.63,2.6450632617525116e-07
163,3,1.63,2.2828930923424195e-06
164,0,1.64,5.694363949260151e-07
164,1,1.64,5.465089998324402e-06
164,2,1.64,-6.745045766365365e-08
164,3,1.64,1.955990455826395e-06
165,0,1.65,6.140923005659715e-07
165,1,1.65,5.615744612441631e-06
165,2,1.65,4.0873419493436813e-07
165,3,1.65,1.4582574294763617e-06
166,0,1.66,2.987160598877381e-07
166,1,1.66,6.007914180372609e-06
166,2,1.66,7.924048190943722e-07
166,3,1.66,1.7218969787791139e-06
167,0,1.67,2.583991260962648e-07
167,1,1.67,6.339858828141587e-06
167,2,1.67,5.694943183698342e-07
