step,env_id,time_s,wrench_magnitude
107,3,1.07,1.4652433395385742
108,0,1.08,0.5766595602035522
108,1,1.08,0.7406849265098572
108,2,1.08,1.024232268333435
108,3,1.08,1.3205654621124268
109,0,1.09,0.5629984140396118
109,1,1.09,0.5224602818489075
109,2,1.09,0.8186503052711487
109,3,1.09,1.076134204864502
110,0,1.1,0.540658712387085
110,1,1.1,0.6537161469459534
110,2,1.1,0.8383491039276123
110,3,1.1,1.4237343072891235
111,0,1.11,0.7182163000106812
111,1,1.11,0.7549650073051453
111,2,1.11,0.950196385383606
111,3,1.11,1.5081195831298828
112,0,1.12,1.0239644050598145
112,1,1.12,0.7878271341323853
112,2,1.12,0.9106913805007935
112,3,1.12,1.6826738119125366
113,0,1.1300000000000001,1.0293216705322266
113,1,1.1300000000000001,1.201107382774353
113,2,1.1300000000000001,0.8938779234886169
113,3,1.1300000000000001,1.4136176109313965
114,0,1.1400000000000001,0.9428626298904419
114,1,1.1400000000000001,1.5812820196151733
114,2,1.1400000000000001,0.6846919059753418
114,3,1.1400000000000001,1.729986548423767
115,0,1.1500000000000001,1.0786670446395874
115,1,1.1500000000000001,1.3209216594696045
115,2,1.1500000000000001,0.6387572288513184
115,3,1.1500000000000001,1.8072398900985718
116,0,1.16,1.2474786043167114
116,1,1.16,1.4148778915405273
116,2,1.16,0.49025431275367737
116,3,1.16,1.7863906621932983
117,0,1.17,1.4011889696121216
117,1,1.17,1.477028250694275
117,2,1.17,0.5685917735099792
117,3,1.17,1.9543359279632568
118,0,1.18,1.321700096130371
118,1,1.18,1.6442924737930298
118,2,1.18,0.5511561036109924
118,3,1.18,1.78557550907135
119,0,1.19,1.3419585227966309
119,1,1.19,1.5448867082595825
119,2,1.19,0.5645049810409546
119,3,1.19,1.8741514682769775
120,0,1.2,1.2587189674377441
120,1,1.2,1.3256936073303223
120,2,1.2,0.8435000777244568
120,3,1.2,1.7802824974060059
121,0,1.21,1.3901726007461548
121,1,1.21,1.757178783416748
121,2,1.21,0.9947365522384644
121,3,1.21,1.6015781164169312
122,0,1.22,1.3699067831039429
